OfficeID,OfficeName,LanguageID,LanguageName,BookmarkName,Translation,OfficeElement
2,Antwerp,6,German,PartnerListDescLabel, ,PartnerListDescLabel
2,Antwerp,7,Dutch (Belgium),PartnerListDescLabel, ,PartnerListDescLabel
2,Antwerp,8,French (Belgium),PartnerListDescLabel, ,PartnerListDescLabel
3,Beijing,1,English (UK),PartnerListDescLabel, Chief Representative: Peter Thorp,PartnerListDescLabel
4,Budapest,1,English (UK),PartnerListDescLabel, ,PartnerListDescLabel
4,Budapest,11,Hungarian,PartnerListDescLabel, ,PartnerListDescLabel
5,Bratislava,1,English (UK),PartnerListDescLabel, ,PartnerListDescLabel
5,Bratislava,3,Slovak,PartnerListDescLabel, ,PartnerListDescLabel
6,Brussels,1,English (UK),PartnerListDescLabel, ,PartnerListDescLabel
6,Brussels,6,German,PartnerListDescLabel, ,PartnerListDescLabel
6,Brussels,7,Dutch (Belgium),PartnerListDescLabel, ,PartnerListDescLabel
6,Brussels,8,French (Belgium),PartnerListDescLabel, ,PartnerListDescLabel
7,Dubai,1,English (UK),PartnerListDescLabel, ,PartnerListDescLabel
8,Frankfurt,1,English (UK),PartnerListDescLabel, ,PartnerListDescLabel
8,Frankfurt,6,German,PartnerListDescLabel, ,PartnerListDescLabel
9,Hong Kong - Law,1,English (UK),PartnerListDescLabel, ,PartnerListDescLabel
10,London,1,English (UK),PartnerListDescLabel, ,PartnerListDescLabel
10,London,2,French,PartnerListDescLabel, ,PartnerListDescLabel
10,London,4,Italian,PartnerListDescLabel, ,PartnerListDescLabel
10,London,6,German,PartnerListDescLabel, ,PartnerListDescLabel
12,Luxembourg Office,1,English (UK),PartnerListDescLabel, ,PartnerListDescLabel
12,Luxembourg Office,2,French,PartnerListDescLabel, ,PartnerListDescLabel
12,Luxembourg Office,6,German,PartnerListDescLabel, ,PartnerListDescLabel
13,Madrid,1,English (UK),PartnerListDescLabel, ,PartnerListDescLabel
13,Madrid,12,Spanish,PartnerListDescLabel,,PartnerListDescLabel
15,Milan,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
15,Milan,4,Italian,PartnerListDescLabel,,PartnerListDescLabel
16,Moscow,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
16,Moscow,13,Russian,PartnerListDescLabel,,PartnerListDescLabel
17,New York,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
17,New York,14,English (US),PartnerListDescLabel,,PartnerListDescLabel
18,Paris,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
18,Paris,2,French,PartnerListDescLabel,,PartnerListDescLabel
19,Prague - Admin,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
19,Prague - Admin,9,Czech,PartnerListDescLabel,,PartnerListDescLabel
20,Prague - Law,1,English (UK),PartnerListDescLabel,,PartnerListDescLabel
20,Prague - Law,9,Czech,PartnerListDescLabel,,PartnerListDescLabel
